Time_count,Time_mean,Time_std,Time_min,Time_25%,Time_50%,Time_75%,Time_max,1->2Bytes_count,1->2Bytes_mean,1->2Bytes_std,1->2Bytes_min,1->2Bytes_25%,1->2Bytes_50%,1->2Bytes_75%,1->2Bytes_max,2->1Bytes_count,2->1Bytes_mean,2->1Bytes_std,2->1Bytes_min,2->1Bytes_25%,2->1Bytes_50%,2->1Bytes_75%,2->1Bytes_max,1->2Pkts_count,1->2Pkts_mean,1->2Pkts_std,1->2Pkts_min,1->2Pkts_25%,1->2Pkts_50%,1->2Pkts_75%,1->2Pkts_max,2->1Pkts_count,2->1Pkts_mean,2->1Pkts_std,2->1Pkts_min,2->1Pkts_25%,2->1Pkts_50%,2->1Pkts_75%,2->1Pkts_max,1->2Bytes_peak_num,2->1Bytes_peak_num,1->2Pkts_peak_num,2->1Pkts_peak_num
2372.0,1604352201.5413153,209.40702865165227,1604351841.0,1604352023.0,1604352195.0,1604352386.25,1604352564.0,2372.0,3421.502107925801,7158.23664450297,0.0,72.0,190.0,1801.0,59833.0,2372.0,135754.8376897133,328302.4795060429,0.0,0.0,72.0,1085.0,1720560.0,2372.0,50.04300168634064,116.51016687468078,0.0,1.0,1.0,6.0,590.0,2372.0,91.20278246205734,218.76312658007603,0.0,0.0,1.0,3.0,1148.0,730,689,611,632
1385.0,1604114021.6866426,88.33721681669101,1604113894.0,1604113945.0,1604114001.0,1604114096.0,1604114194.0,1385.0,1002.3805054151625,3584.6016053973626,0.0,73.0,160.0,474.0,91910.0,1385.0,23640.90108303249,102408.92771517855,0.0,0.0,72.0,148.0,890907.0,1385.0,6.929241877256318,26.232385580696132,0.0,1.0,1.0,2.0,314.0,1385.0,16.84909747292419,68.59590698247588,0.0,0.0,1.0,1.0,596.0,355,311,262,252
1114.0,1604317926.9847398,80.04433149829318,1604317790.0,1604317859.0,1604317925.0,1604317995.75,1604318070.0,1114.0,370.613105924596,453.44799457199,0.0,157.0,291.0,582.0,7424.0,1114.0,83.7262118491921,523.8497873681162,0.0,0.0,0.0,0.0,8873.0,1114.0,1.6149012567324954,1.6356848977051195,0.0,1.0,1.0,2.0,21.0,1114.0,0.36894075403949733,1.2827437707478264,0.0,0.0,0.0,0.0,17.0,353,169,294,165
1321.0,1604288824.348978,84.32436526061942,1604288674.0,1604288758.0,1604288826.0,1604288899.0,1604288977.0,1321.0,892.8440575321725,2192.5225889226863,0.0,72.0,201.0,527.0,27748.0,1321.0,11044.876608629826,68893.66030785623,0.0,0.0,83.0,390.0,963550.0,1321.0,6.423164269492808,25.7149651508045,0.0,1.0,1.0,3.0,437.0,1321.0,9.799394398183194,48.78856547230232,0.0,0.0,1.0,3.0,675.0,389,368,331,322
324.0,1604434203.478395,89.02420530004643,1604434051.0,1604434126.75,1604434202.5,1604434280.25,1604434357.0,324.0,16332.182098765432,27767.622351796712,0.0,1507.5,3945.0,25475.75,319655.0,324.0,273125.2962962963,415280.2241030609,0.0,2094.0,41307.5,481960.25,4012146.0,324.0,137.8179012345679,244.94982272658595,0.0,6.0,25.5,220.5,2952.0,324.0,202.89506172839506,305.25176348166264,0.0,5.0,34.5,356.25,2960.0,97,97,98,97
1907.0,1604384006.6984792,80.97637921234153,1604383814.0,1604383971.0,1604384001.0,1604384085.0,1604384127.0,1907.0,580.3990561090718,1298.5971503621881,0.0,59.0,96.0,348.5,19544.0,1907.0,3217.7058206607235,26349.80068422944,0.0,40.0,128.0,306.5,946189.0,1907.0,2.8930256948085997,5.498171843536652,0.0,1.0,1.0,2.0,108.0,1907.0,3.937073938122706,18.50680441032295,0.0,1.0,1.0,2.0,644.0,541,540,371,430
323.0,1604435131.4798763,89.75903939314252,1604434978.0,1604435053.5,1604435132.0,1604435209.5,1604435286.0,323.0,17838.123839009288,24259.982730368632,0.0,990.5,3305.0,26902.5,161989.0,323.0,287888.80495356035,412615.67656012496,0.0,224.0,37256.0,436155.5,2180708.0,323.0,150.23529411764707,220.2306252901131,0.0,3.5,24.0,223.5,1493.0,323.0,213.64705882352942,302.8304353284169,0.0,2.0,30.0,321.5,1603.0,101,102,102,102
1237.0,1604317037.6952305,87.04239612503216,1604316887.0,1604316965.0,1604317035.0,1604317113.0,1604317187.0,1237.0,457.55133387227164,675.1389033577441,0.0,139.0,291.0,582.0,10654.0,1237.0,181.95311236863378,1082.5192447598592,0.0,0.0,0.0,52.0,25428.0,1237.0,1.7696038803556993,1.8489341602789486,0.0,1.0,1.0,2.0,23.0,1237.0,0.5392077607113985,1.7816369204149907,0.0,0.0,0.0,1.0,22.0,383,215,328,208
3392.0,1604386090.7676888,104.52915161996307,1604385912.0,1604386002.75,1604386090.0,1604386175.25,1604386281.0,3392.0,1427.469929245283,6218.067997128018,0.0,61.0,120.0,957.5,169752.0,3392.0,2458.7865566037735,17919.185273374776,0.0,52.0,150.0,661.5,588630.0,3392.0,3.4204009433962264,7.682326384455191,0.0,1.0,1.0,3.0,162.0,3392.0,4.517983490566038,16.910879753207926,0.0,1.0,1.0,3.0,493.0,1012,1013,764,844
712.0,1604385212.6783707,87.63318051731994,1604385063.0,1604385135.0,1604385213.0,1604385288.0,1604385363.0,712.0,3213.455056179775,12995.33427646972,0.0,136.0,160.0,426.0,109917.0,712.0,77653.58005617978,369206.0657347127,0.0,0.0,0.0,172.0,2351889.0,712.0,20.792134831460675,88.49305070139819,0.0,1.0,1.0,2.0,786.0,712.0,59.37640449438202,275.03076703888274,0.0,0.0,0.0,1.0,1750.0,227,171,186,169
771.0,1604384305.3437095,85.41458798266326,1604384160.0,1604384232.0,1604384301.0,1604384376.0,1604384460.0,771.0,2691.757457846952,11674.73368708996,0.0,136.0,160.0,471.5,144477.0,771.0,60525.74448767834,331796.62249287014,0.0,0.0,0.0,174.0,2815695.0,771.0,16.900129701686122,77.7756456220796,0.0,1.0,1.0,2.0,1011.0,771.0,46.87548638132296,247.93356369941372,0.0,0.0,0.0,1.0,2094.0,239,191,186,188
1803.0,1604382236.6417084,79.8445581413195,1604382079.0,1604382173.0,1604382236.0,1604382308.0,1604382379.0,1803.0,764.5501941209096,2603.934482516494,0.0,52.0,154.0,351.0,51522.0,1803.0,10760.431503050471,141179.44397641518,0.0,0.0,79.0,364.0,4179107.0,1803.0,7.379922351636162,44.51699567693872,0.0,1.0,1.0,4.0,1208.0,1803.0,10.501386577925679,98.78110293286605,0.0,0.0,1.0,4.0,2872.0,497,449,388,418
659.0,1604118745.538695,92.76361240344387,1604118588.0,1604118660.0,1604118744.0,1604118841.0,1604118888.0,659.0,548.0606980273141,1875.2699653966238,0.0,112.0,324.0,405.0,39104.0,659.0,633.5432473444613,2071.5733751201683,0.0,52.0,296.0,370.0,19651.0,659.0,3.7298937784522,4.0460722619076215,0.0,1.0,4.0,5.0,37.0,659.0,3.188163884673748,3.3418838939949627,0.0,1.0,4.0,5.0,27.0,225,216,205,209
975.0,1604195302.7517948,75.91500660801336,1604195150.0,1604195247.5,1604195301.0,1604195359.0,1604195450.0,975.0,845.2235897435897,1831.9793895776263,0.0,61.0,190.0,855.0,17773.0,975.0,1956.551794871795,16353.368112073056,0.0,40.0,105.0,420.0,380930.0,975.0,2.793846153846154,8.83138671157639,0.0,1.0,1.0,2.0,223.0,975.0,3.227692307692308,15.053479350712022,0.0,1.0,1.0,3.0,369.0,267,250,198,204
1192.0,1604366632.4689598,82.05532963394347,1604366490.0,1604366564.0,1604366630.0,1604366698.0,1604366790.0,1192.0,1526.8607382550335,10004.5973340271,0.0,136.0,141.0,262.0,144641.0,1192.0,22141.237416107382,220124.28298816882,0.0,0.0,0.0,128.0,3078936.0,1192.0,8.52768456375839,57.16439009458693,0.0,1.0,1.0,2.0,846.0,1192.0,17.825503355704697,164.25382690001288,0.0,0.0,0.0,1.0,2295.0,353,249,256,239
858.0,1604118439.3216784,86.28770102089736,1604118287.0,1604118360.0,1604118437.0,1604118518.0,1604118587.0,858.0,674.2645687645688,1738.0700394432738,0.0,70.0,274.0,405.0,17892.0,858.0,1840.8869463869464,25812.3337729306,0.0,52.0,249.5,370.0,741379.0,858.0,4.092074592074592,11.119785162587801,0.0,1.0,3.0,5.0,302.0,858.0,3.874125874125874,17.61246262357282,0.0,1.0,2.0,5.0,500.0,259,252,241,243
1369.0,1604382523.7195034,83.15590888330757,1604382380.0,1604382453.0,1604382526.0,1604382591.0,1604382680.0,1369.0,650.2111029948868,3464.945011925306,0.0,52.0,154.0,272.0,107319.0,1369.0,4790.302410518627,51302.45810650372,0.0,0.0,60.0,183.0,1240651.0,1369.0,5.066471877282688,26.38756007662741,0.0,1.0,1.0,2.0,697.0,1369.0,5.5617238860482106,36.601028114171726,0.0,0.0,1.0,2.0,869.0,398,361,327,318
702.0,1604319275.8561254,86.34159399738927,1604319115.0,1604319204.25,1604319288.0,1604319348.0,1604319415.0,702.0,1585.8760683760684,6655.267516197316,0.0,167.0,291.0,291.0,84830.0,702.0,19313.716524216525,106681.11755550258,0.0,0.0,0.0,0.0,968975.0,702.0,8.326210826210826,36.125599131131025,0.0,1.0,1.0,1.0,346.0,702.0,15.512820512820513,81.57038727849535,0.0,0.0,0.0,0.0,753.0,198,128,126,128
464.0,1604365847.6788793,75.84987379191183,1604365706.0,1604365787.0,1604365843.5,1604365905.0,1604365999.0,464.0,3510.0668103448274,13729.40343953306,0.0,118.0,160.0,315.5,126241.0,464.0,162314.25646551725,696865.3485961749,0.0,0.0,108.0,227.75,5188950.0,464.0,24.017241379310345,90.69532055610838,0.0,1.0,1.0,2.0,858.0,464.0,122.16163793103448,511.62456047319023,0.0,0.0,1.0,2.0,3813.0,132,100,90,86
863.0,1604361332.9710312,93.70051687614306,1604361203.0,1604361239.0,1604361331.0,1604361411.5,1604361503.0,863.0,584.2838933951333,2792.8722642248154,0.0,52.0,87.0,304.0,64650.0,863.0,9602.904982618771,155035.92179028157,0.0,0.0,71.0,163.5,3898907.0,863.0,2.88180764774044,14.859197796032214,0.0,1.0,1.0,2.0,282.0,863.0,8.127462340672075,107.67830396684779,0.0,0.0,1.0,1.5,2654.0,263,246,177,207
745.0,1604319575.1852348,88.0031496685843,1604319416.0,1604319497.0,1604319582.0,1604319656.0,1604319716.0,745.0,820.510067114094,3601.8422317753034,0.0,157.0,291.0,291.0,52737.0,745.0,10951.253691275168,84501.47970038881,0.0,0.0,0.0,0.0,971092.0,745.0,4.251006711409396,23.236340123723856,0.0,1.0,1.0,1.0,335.0,745.0,8.875167785234899,63.528160196157145,0.0,0.0,0.0,0.0,740.0,217,133,131,133
222.0,1604266407.59009,8.059085594863188,1604266394.0,1604266400.0,1604266405.0,1604266415.75,1604266422.0,222.0,830.6666666666666,3591.4376174283425,0.0,110.0,291.0,485.25,52032.0,222.0,233.50900900900902,691.5103199106322,0.0,0.0,0.0,108.75,5594.0,222.0,2.036036036036036,3.0602632836426618,0.0,1.0,1.0,2.0,41.0,222.0,1.027027027027027,1.6720186377723443,0.0,0.0,0.0,1.0,9.0,56,40,41,39
502.0,1604364349.2709162,85.67299799578464,1604364200.0,1604364278.0,1604364349.0,1604364424.75,1604364500.0,502.0,6019.324701195219,21014.213225841828,0.0,126.0,198.0,435.0,173741.0,502.0,253308.57569721114,964362.1252512533,0.0,0.0,108.0,414.0,7669934.0,502.0,38.62948207171315,134.9481092233781,0.0,1.0,1.0,3.0,1156.0,502.0,189.27290836653387,708.3466166816784,0.0,0.0,1.0,3.0,5620.0,143,123,100,113
2154.0,1604306008.2544105,88.03561587436815,1604305852.0,1604305923.0,1604306024.5,1604306079.0,1604306152.0,2154.0,1911.4243268337975,4963.5409967354135,0.0,64.0,151.0,524.0,62340.0,2154.0,10082.467966573817,151101.63650562573,0.0,52.0,118.5,370.0,5394296.0,2154.0,11.39322191272052,46.98634532524031,0.0,1.0,1.0,4.0,1421.0,2154.0,17.769266480965644,106.39526233092211,0.0,1.0,1.0,4.0,3600.0,561,531,502,493
